Bootstrap,Threshold,PQ,PC,F1,F1*,Fractions,Brand,Webshop1&Webshop2,b,r,Similarity_threshold,Clusters,Duplicate_pair
2,0.75,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.4,1,3
3,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.4,1,3
4,1.0,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.4,1,3
Average,Optimal,0.7,1.0,0.7999999999999999,0.44835164835164837,0.5333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.4,1,3
0,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.6,1,3
1,1.5,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.6,1,3
2,0.75,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.6,1,3
3,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.6,1,3
4,1.0,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.6,1,3
Average,Optimal,0.7,1.0,0.7999999999999999,0.44835164835164837,0.5333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.6,1,3
0,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.8,1,3
1,1.5,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.8,1,3
2,0.75,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.8,1,3
3,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.8,1,3
4,1.0,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,1,582,0.8,1,3
Average,Optimal,0.7,1.0,0.7999999999999999,0.44835164835164837,0.5333333333333333,RCA,bestbuy.com&newegg.com,1,582,0.8,1,3
0,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.4,1,3
1,1.5,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.4,1,3
2,0.75,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.4,1,3
3,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.4,1,3
4,1.0,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.4,1,3
Average,Optimal,0.7,1.0,0.7999999999999999,0.44835164835164837,0.5333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.4,1,3
0,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.6,1,3
1,1.5,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.6,1,3
2,0.75,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.6,1,3
3,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.6,1,3
4,1.0,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.6,1,3
Average,Optimal,0.7,1.0,0.7999999999999999,0.44835164835164837,0.5333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.6,1,3
0,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.8,1,3
1,1.5,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.8,1,3
2,0.75,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.8,1,3
3,1.0,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.8,1,3
4,1.0,0.5,1.0,0.6666666666666666,0.46153846153846156,0.6666666666666666,RCA,bestbuy.com&newegg.com,6,97,0.8,1,3
Average,Optimal,0.7,1.0,0.7999999999999999,0.44835164835164837,0.5333333333333333,RCA,bestbuy.com&newegg.com,6,97,0.8,1,3
0,1.0,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.03424657534246575,0.05,RCA,bestbuy.com&newegg.com,97,6,0.4,1,209
1,0.75,0.5,0.75,0.6,0.03488372093023256,0.04,RCA,bestbuy.com&newegg.com,97,6,0.4,1,209
2,0.75,0.46153846153846156,0.6666666666666666,0.5454545454545455,0.03414313854235062,0.043333333333333335,RCA,bestbuy.com&newegg.com,97,6,0.4,1,209
3,0.75,0.46153846153846156,1.0,0.631578947368421,0.03987050604873061,0.043333333333333335,RCA,bestbuy.com&newegg.com,97,6,0.4,1,209
4,0.75,0.5,0.6666666666666666,0.5714285714285715,0.03314917127071823,0.04,RCA,bestbuy.com&newegg.com,97,6,0.4,1,209
Average,Optimal,0.4512820512820513,0.7833333333333333,0.564930508088403,0.035258622426899554,0.043333333333333335,RCA,bestbuy.com&newegg.com,97,6,0.4,1,209
0,1.0,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.03424657534246575,0.05,RCA,bestbuy.com&newegg.com,97,6,0.6,1,139
1,0.75,0.5,0.75,0.6,0.03488372093023256,0.04,RCA,bestbuy.com&newegg.com,97,6,0.6,1,139
2,0.75,0.46153846153846156,0.6666666666666666,0.5454545454545455,0.03414313854235062,0.043333333333333335,RCA,bestbuy.com&newegg.com,97,6,0.6,1,139
3,0.75,0.46153846153846156,1.0,0.631578947368421,0.03987050604873061,0.043333333333333335,RCA,bestbuy.com&newegg.com,97,6,0.6,1,139
4,0.75,0.5,0.6666666666666666,0.5714285714285715,0.03314917127071823,0.04,RCA,bestbuy.com&newegg.com,97,6,0.6,1,139
